Method	Resource type	Resource	URL	Use
NNs	User-provided	Chattopadhyay et al. 2019 – Neural Network Attributions: A Causal Perspective (Zotero Z7N37J4C)	local Zotero storage/Z7N37J4C	NN-as-SCM attribution view; kept separate from effect-estimation scope in AI flag.
NNs	External	Dragonnet abstract	https://arxiv.org/abs/1906.02120	Benchmark-based causal NN evidence; abstract accessible.
BART	User-provided	Chipman et al. 2010 – BART: Bayesian additive regression trees (Zotero NRXH4JQ6)	local Zotero storage/NRXH4JQ6	Sum-of-trees prior, backfitting MCMC, posterior inference and variable selection.
BART	External	PyMC BART introduction	https://www.pymc.io/projects/examples/en/latest/bart/bart_introduction.html	Non-parametric regression use, partial dependence, convergence practice.
BART	External	BART abstract (Annals of Applied Statistics)	https://projecteuclid.org/journals/annals-of-applied-statistics/volume-4/issue-1/BART-Bayesian-additive-regression-trees/10.1214/09-AOAS285.full	Nonparametric Bayesian regression summary; full text via Zotero PDF.
R-learner, TMLE, MTP	User-provided	Nie & Wager 2021 – Quasi-oracle estimation of heterogeneous treatment effects (Zotero 5JJDBSM5)	local Zotero storage/5JJDBSM5	R-learner quasi-oracle framing.
R-learner, TMLE, MTP	External	Doubly robust estimation – NaviDAM Complete row	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Doubly-robust calibration template (assumptions, uncertainty, implementation).
Reinforcement learning	External	Causal ML Complete rows (Double Machine learning, Causal forests)	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Sequential-policy scope separated from static effect estimators; large-n and domain-skill settings.
PC, PCMCI	External	CCM/S-Map Complete rows – prediction-based discovery templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Time-series discovery calibration (lags Yes, stationarity, RS-data Few applications).
PC, PCMCI	External	tigramite PCMCI documentation	https://github.com/jakobrunge/tigramite	Lagged conditional-independence implementation, stationarity and lag handling.
FCI, TsFCI	External	CCM/S-Map Complete rows – prediction-based discovery templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Constraint-based calibration; FCI sufficiency relaxation flagged.
GES, TsGFCI	External	CCM/S-Map Complete rows – prediction-based discovery templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Score-based calibration; grouped GES/GFCI scope flagged.
DYNOTEARS	External	CCM/S-Map Complete rows – prediction-based discovery templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Continuous-optimization time-series discovery calibration.
DYNOTEARS	External	DYNOTEARS original paper (arXiv)	https://arxiv.org/abs/1910.03943	Linear/nonlinear dynamic DAG learning with acyclicity constraint.
LiNGAM	External	Kernel methods Complete row – asymmetry-based template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Asymmetry-based calibration (non-Gaussianity proposal flagged as new Model-specific value).
Additive noise models	External	Kernel methods Complete row – asymmetry-based template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Additive-noise asymmetry calibration (new Model-specific proposal flagged).
Bayesian network learning	External	Frontdoor criterion Complete row – graph-based identification template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	DAG-learning calibration across constraint/score/hybrid variants.
Info-geom. causal inference	External	Kernel methods Complete row – asymmetry-based template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Bivariate asymmetry calibration (cause-mechanism independence proposal flagged).
SES & Network analysis (~adjusted method)	External	Occupancy models / Point process models Complete rows – ecology-adjusted templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Ecology/network descriptive-plus-adjusted scope; interference relaxation.
Causal diffusion models	External	Causal generative modeling Complete row – generative counterfactual template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Generative scenario calibration; emerging-method limits flagged.
Marginal structural models	External	Weighting & Propensity scores Complete row – weighting template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	IPW-for-time-varying-confounding calibration.
G methods	External	Weighting & Propensity scores Complete row – weighting template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	G-formula/g-estimation/MSM family scope flagged.
Invariant causal prediction	External	CCM/S-Map Complete rows – prediction-based discovery templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Multi-environment invariance calibration (new Model-specific proposal flagged).
Treatment assignment graph	External	Versatile-tools reasoning – no estimator; visualisation helper	Criteria pages /type, /usage, /objective	Helper-row pattern (Inapplicable causal criteria, User-friendly).
Covariate timeline	External	Versatile-tools reasoning – no estimator; visualisation helper	Criteria pages /type, /usage, /objective	Helper-row pattern (Inapplicable causal criteria, User-friendly).
Reporting measures	External	Versatile-tools reasoning – no estimator; visualisation helper	Criteria pages /type, /usage, /objective	Helper-row pattern (Inapplicable causal criteria, User-friendly).
Best practice boxes	External	Versatile-tools reasoning – no estimator; visualisation helper	Criteria pages /type, /usage, /objective	Helper-row pattern (Inapplicable causal criteria, User-friendly).
Partial identification	External	Doubly robust estimation Complete row – bounds under relaxed assumptions	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Bounds-not-points calibration; overlap relaxation.
Sensitivity analyses	External	Versatile-tools reasoning – robustness-check helper	Criteria pages /uncertainty, /usage	Robustness-check pattern (Inapplicable causal criteria).
Placebo tests	External	Synthetic controls Complete row – pretreatment-fit placebo logic	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Placebo/falsification calibration.
Power analyses	External	Versatile-tools reasoning – design helper, not an estimator	Criteria pages /usage, /objective	Design-helper pattern (Inapplicable causal criteria).
Counterfactual explanations	External	Tree-based ML algorithms Complete row – predictive+interpretability template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Interpretability-tool calibration; causal-validity limits flagged.
Do-calculus rules	External	Frontdoor criterion Complete row – graph-based identification template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Do-calculus identification calibration.
BFast	External	LandTrendr / VCT Complete rows – breakpoint-detection templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Breakpoint-detection calibration (seasonal-trend decomposition).
DL change detection	External	LandTrendr / VCT Complete rows – RS-detection templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Deep change-detector calibration; architecture variation flagged.
Diversity metrics, turnover, variance, phenology, sentinels	External	Frescalo Complete row – biodiversity-indicator template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Grouped-indicator scope flagged.
Bayesian Structured TS	External	Interrupted time series Complete row – time-series intervention template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Structural-TS/CausalImpact-style calibration; pre-period fit flagged.
TRIM	External	LandTrendr Complete row – trend-detection template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Count-trend calibration.
Markov switching autoregression models	External	Autoregressive state-space models Complete row – regime-switching template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Regime-switching calibration.
Bootstrapping	External	Monte Carlo Complete row – uncertainty-tool template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Resampling-uncertainty calibration.
Causal GNNs	External	Causal generative modeling Complete row – graph-ML template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Graph-ML calibration; graph-construction sensitivity flagged.
Conformal inference	External	Monte Carlo Complete row – uncertainty-tool template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Distribution-free uncertainty calibration.
First-difference estimator	External	DiD & BACI Complete row – panel-difference template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Two-period difference calibration (parallel trends).
Long difference estimator	External	DiD & BACI Complete row – panel-difference template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Long-difference calibration (parallel trends).
Variance partitioning / Variable importance	External	Tree-based ML algorithms Complete row – interpretability template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Descriptive-variance scope flagged as non-interventional.
Moderator analysis	External	Doubly robust estimation Complete row – heterogeneity template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Interaction/moderation calibration.
Process-based models	External	Process-Explicit criterion page (/explicitprocess)	contents/criteria/model_properties/explicitprocess.md	Mechanistic-model calibration (Requires explicit processes Yes; dispersal/reproduction/mortality).
CLUE model	External	CLUE land-use allocation literature (scenario model)	https://www.ivm.vu.nl/en/Organisation/departments/spatial-analysis-decision-support/Clue/index.aspx	Allocation-scenario scope flagged.
ARDL	External	GLMs/GEEs Complete row – regression-extension template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Distributed-lag regression calibration.
Bayesian Change point detection	External	LandTrendr / VCT Complete rows – breakpoint templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Bayesian breakpoint calibration with inherent uncertainty.
Functional causal model	External	Kernel methods Complete row – asymmetry-based template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Umbrella functional-model scope flagged (new Model-specific proposal).
Continuous Change Detection and Classification (CCDC)	External	LandTrendr / VCT Complete rows – operational RS breakpoint templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Operational Landsat breakpoint calibration.
Mann-Kendall test (+ seq. extension)	External	LandTrendr Complete row – non-parametric trend template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Rank-based trend calibration.
Pettitt's Test	External	LandTrendr Complete row – change-point template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Single-change-point calibration.
Sen's slope	External	LandTrendr Complete row – trend-magnitude template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Robust-slope calibration.
Post-Classification Comparison (PCC)	External	LandTrendr / VCT Complete rows – operational RS product templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Operational burned-area scope flagged.
Information transfer	External	CCM/S-Map Complete rows – predictive-causality templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Transfer-entropy scope flagged as predictive, not interventional.
CAT transformation (Hird et al. 2016)	External	LandTrendr Complete row – single-study detector template	Completed assessment in DetectionAttribution methods - Method Assessment.tsv	Single-study scope flagged.
Trajectory classification (Pélissié et al. 2024)	External	LandTrendr / VCT Complete rows – trajectory templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Single-study scope flagged.
Dynamical footprint analysis (Cano et al. 2025)	External	CCM/S-Map Complete rows – dynamical-systems templates	Completed assessments in DetectionAttribution methods - Method Assessment.tsv	Single-study dynamical scope flagged.
